id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,brantner,Franziska Brantner,0,2,1979,1,4,1,2,,1,14047,4470,2747,26
ft,toncar,Florian Toncar,0,1,1979,1,4,2,3,1,3,8588,3069,4478,99
rss,sutter,Rita Schwarzelühr-Sutter,0,2,1962,1,5,3,1,2,2,4249,1534,2941,17
tl,lindner,Tobias Lindner,0,1,1982,2,4,3,2,,1,10503,3579,4920,0
bs,strasser,Benjamin Strasser,0,1,1987,1,6,2,3,2,,5811,3920,3372,287
co,oezdemir,Cem Özdemir,0,1,1965,3,5,4,2,3,2,317191,105000,162574,0
mat,theurer,Michael A. Theurer,0,1,1967,1,5,3,3,1,2,8478,3744,27913,0
ck,kuehn,Chris Kühn,0,1,1979,1,7,1,2,,3,4786,1660,97,35
jb,brandenburg,Jens Brandenburg,0,1,1986,1,4,1,3,,0,5407,3321,0,0
mw,wirtschaft,Ministerium Wirtschaft,1,,,,,,,,,,,,
mf,finanzen,Ministerium Finanzen,1,,,,,,,,,,,,
mi,inneres,Ministerium Inneres,1,,,,,,,,,,,,
aa,auswaertig,Auswärtiges Amt,1,,,,,,,,,,,,
mj,justiz,Ministerium Justiz,1,,,,,,,,,,,,
me,ernaehrung,Ministerium Ernährung,1,,,,,,,,,,,,
mv,verkehr,Ministerium Verkehr,1,,,,,,,,,,,,
mu,umwelt,Ministerium Umwelt,1,,,,,,,,,,,,
mb,bildung,Ministerium Bildung,1,,,,,,,,,,,,
dfpv,deutschfranzösisch,Deutsch-Französische Parlamentarische Versammlung,1,,,,,,,,,,,,
ep,parlament,Europäisches Parlament,1,,,,,,,,,,,,
bt,bundestag,Deutscher Bundestag,1,,,,,,,,,,,,
pg,gruene,Partei Grüne,1,,,,,,,,,,,,
kp,krisenpraevention,"Unterausschuss Krisenprävention, Konfliktbearbeitung und vernetztes Handeln",1,,,,,,,,,,,,
ac,antonyscollege,European Studies Centre St Antony’s College in Oxford,1,,,,,,,,,,,,
unifem,frauenrechtsorganisation,UN-Frauenrechtsorganisation,1,,,,,,,,,,,,
ec,europeancouncil,European Council on Foreign Relations,1,,,,,,,,,,,,
bst,bertelsmann,Bertelsmann Sitftung,1,,,,,,,,,,,,
fa,familienausschuss,"Ausschuss für Familie, Senioren, Frauen und Jugend",1,,,,,,,,,,,,
aau,auswaertigerausschuss,Auswärtiger Ausschuss,1,,,,,,,,,,,,
eua,euausschuss,Ausschuss für die Angelegenheiten der Europäischen Union,1,,,,,,,,,,,,
bgc,covid,Parlamentarisches Begleitgremium Covid-19-Pandemie,1,,,,,,,,,,,,
age,elyseevertrag,Deutsch-französische Arbeitsgruppe zum Elysee-Vertrag,1,,,,,,,,,,,,
jdc,jacques,Jacques Delors Centre,1,,,,,,,,,,,,
zif,friedenseinsätze,Zentrum für Internationale Friedenseinsätze gemeinnützige GmbH (ZIF),1,,,,,,,,,,,,
bsmk,stiftungmutterkind,Bundesstiftung Mutter und Kind − Schutz des ungeborenen Lebens,1,,,,,,,,,,,,
ae,avanti,Avanti Europe ! e.V.,1,,,,,,,,,,,,
um,unimannheim,Universität Mannheim,1,,,,,,,,,,,,
yc,youthcaucus,„Youth Caucus“ der UN Commission on the Status of Women,1,,,,,,,,,,,,
fsk,friedenskommission,Friedens- und Sicherheitspolitische Kommission der Bundespartei,1,,,,,,,,,,,,
sa,sicherheitsausschuss,Unterausschuss für Sicherheit und Verteidigung,1,,,,,,,,,,,,
fra,frauenrechtsausschuss,Frauenrechts- und Gleichstellungsausschuss,1,,,,,,,,,,,,
ha,haushaltsausschuss,Haushaltsausschuss,1,,,,,,,,,,,,
eppsp,secularism,European Parliament Platform for Secularism in Politics ,1,,,,,,,,,,,,
sgi,spinelli,Spinelli-Gruppen-Initiative,1,,,,,,,,,,,,
hbs,boellstiftung,Heinrich-Böll-Stiftung,1,,,,,,,,,,,,
epc,policycentre,European Policy Centre,1,,,,,,,,,,,,
aca,advisory,Advisory Commitee Asylos,1,,,,,,,,,,,,
